,A15,DPO 4,,47,14,22 FW,,1,,,,1,IAT,,,,,,,,
,A16,DPO 5,VTec Control,47,16,22 FW,,1,,,,1,TPS1,,,,,,,,
,A17,DPO 6,vtc control ,47,15,22 FW,,1,,,,1,TPS2,,,,,,,,
,A18,HBO 5,Harness +12v,47,1,20 FW,,1,,,,1,ECT,,,,,,,,
,A19,HBO 1,DBW,47,35,20 FW,,1,,,,1,knock sensor,,,,,,,,
,A20,HBO 2,DBW,47,22,20 FW,,1,,,,1,harness +5v,,,,,,,,
,A21,HBO 3,vtc/vtec +12v,47,6,20 FW,,1,,,,1,fuel pressure,,,,,,,,
,A22,HBO 4,IGN power,47,4,20 FW,red/white,1,,,,2,sensor ground,,,,,,,,
,A23,CAN 1 H,RX8 CAN,,,CAN,Green,,,,,1,shield ground,,,,,,,,
,A24,CAN 1 L,RX8 CAN,,,CAN,White,,,,,1,AIM +12v,,,,,,,,
,A25,HBO 6,INJ Power,47,5,20 FW,,1,,,,1,AIM +5v,,,,,,,,
,A26,12v Low Current Out,,,,22 AWG,,,,,,1,AIM Sensor ground,,,,,,,,
,A27,Ignition 1,,47,19,22 FW,,1,,,,1,AIM ECT,,,,,,,,
,A28,Ignition 2,,47,9,22 FW,,1,,,,1,AIM Coolant pressure,,,,,,,,
,A29,Ignition 3,,47,7,22 FW,,1,,,,,,,,,,,,,
,A30,Ignition 4,,47,8,22 FW,,1,,,, ,,,,,,,,,
,A31,Ignition 5,Trans reverse switch,47,36,22 FW,,1,,,,  ,,,,,,,,,
,A32,Ignition 6,Unused,,,22 FW,,1,,,, ,,,,,,,,,
,A33,Ignition 7,Unused,,,22 FW,,1,,,, ,,,,,,,,,
,A34,Ignition 8,Unused,,,22 FW,,1,,,, ,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,
,C01,Trigger+,Crank,47,37,shielded,,3,,,,,,,,,,,,,
,C02,Trigger-,unused,,,shielded,,,,,, ,,,,,,,,,
,C03,Home+,Exhaust Cam,47,38,shielded,,3,,,, ,,,,,,,,,
,C04,Home-,unsued,,,shielded,,,,,, ,,,,,,,,,
,C05,SPI 1,Intake Cam,47,39,shielded,,3,,,, ,,,,,,,,,
,C06,SPI 2,Oil Pressure,47,32,22 FW,,1,,,, ,,,,,,,,,
,C07,SPI 3,Flex Fuel,47,47,22 FW,,1,, ,, ,,,,,,,,,
,C08,SPI 4,Trans nuetral switch,47,20,22 FW,,1,,,, ,,,,,,,,,
,C09,Sensor +8,,,,22 FW,,,,,, ,,,,,,,,,
,C10,AVI 1,MAP,47,46,22 FW,,1,,,, ,,,,,,,,,
,C11,AVI 2,Oil Temp,47,31,22 FW,,1,,,, ,,,,,,,,,
 ,C12,AVI 3,IAT,47,24,22 FW,,1,,,,  ,,,,,,,,,
,C13,AVI 4,SPARE 2,47,33,22 FW,,1,,,, ,,,,,,,,,
,C14,AVI 5,TPS1,47,41,22 FW,,1,,,, ,,,,,,,,,
,C15,AVI 6,TPS2,47,11,22 FW,,1,,,, ,,,,,SHIELDED CABLE,Notes,,,
,C16,AVI 7,Pedal Position 1,,,22,,,,,, ,,,,,WHITE/ORANGE,12v,,,
,C17,AVI 8,Pedal Position 2,,,22,,,, ,, ,,,,,WHITE/BLUE,signal,,,
,C18,AVI 9,ECT,47,10,22 FW,,1,,,, , , ,,,WHITE,signal ground,,,
,C19,SPI 5,Trans Temp,47,23,22 FW,,1,,,, ,,,,,shield,shield,,,
,C20,SPI 6,,,,,,,,,, ,,,,,,,,,
,C21,CAN 2 H,HALTECH CAN,,,CAN,,,,,, ,,,,,,,,,
,C22,CAN 2 L,HALTECH CAN,,,CAN,,,,,, ,,,,,,,,,
,C23,Knock 1, ,47,25,shielded,,,,,,,,,,,,,,,
,C24,Knock 2,Unused,,,,,,,,, ,,,,,,,,,
,C25,Sensor +5,Harness +5v,47,26,20 FW,WHITE/BLACK,1,,,, ,,,,,,,,,
,C26,Signal Ground,Signal Ground,47,40,20 FW,,1,,,,,,,,,,,,,
,C27,AVI 10,Fuel Pressure,47,18,22 FW,,1,,,,,,,,,,,,,
,C28,AVI 11,??,47,21,22 FW,violette/white,1,,,,,,,,,,,,,
,C29,WBI 1 (HTR+),,47,45,20 FW,white/black,1,,,,,,,,,,,,,
,C30,WBI 1 (Input),,47,28,20 FW,grey/black,1,,,,,,,,,,,,,
,C31,WBI 1 (Pump),,47,29,20 FW,grey/red,1,,,,,,,,,,,,,
,C32,WBI 1 (NERNST),,47,30,20 FW,grey/yellow,1,,,, , ,,,,,,,,
,C33,WBI 1 (HTR-),,47,43,20 FW,,1,,,,,,,,,,,,,
,C34,WBI 1 (CAL),,47,44,20 FW,,1,,,,,,,,,,,,,
,,,,, ,,,,,,, ,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,
,Position #,Description,Function,Destination,,,Wire Color,Notes,Code,,, ,,,,,,,,,
,,,,Connector name ,Position #,,,,,,, ,,,,,,,,,
,E01,25A +12v HCO,Water Pump,eng power,B,12 FW,,,,,, ,,,,,,,,,
,E02,25A +12v HCO,Eng Fan,eng power,C,12 FW,,,,,, ,,,,,,,,,
,E03,25A +12v HCO,Starter solenoid,,,12 FW,,,,,, ,,,,,,,,,
,E04,25A +12v HCO,FUEL PUMP,,,12 FW,,Has heatshrink to differentiate,,,, ,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,
